WORK_ZONE_NAME;ZIPCODE;PAIS;ESTATUS;WORK_ZONE_LABEL
PANAMA, SAN MIGUELITO, C.P. 081007;081007;PA;active;PA081007
PANAMA, SAN MIGUELITO, C.P. 081006;081006;PA;active;PA081006
PANAMA, PANAMA, C.P. 081005;081005;PA;active;PA081005
PANAMA, SAN MIGUELITO, C.P. 081004;081004;PA;active;PA081004
PANAMA, SAN MIGUELITO, C.P. 081003;081003;PA;active;PA081003
PANAMA, SAN MIGUELITO, C.P. 081002;081002;PA;active;PA081002
PANAMA, SAN MIGUELITO, C.P. 081001;081001;PA;active;PA081001
PANAMA, SAN CARLOS, C.P. 080909;080909;PA;active;PA080909
PANAMA, SAN CARLOS, C.P. 080908;080908;PA;active;PA080908
PANAMA, SAN CARLOS, C.P. 080907;080907;PA;active;PA080907
PANAMA, SAN CARLOS, C.P. 080906;080906;PA;active;PA080906
PANAMA, SAN CARLOS, C.P. 080905;080905;PA;active;PA080905
PANAMA, SAN CARLOS, C.P. 080904;080904;PA;active;PA080904
PANAMA, SAN CARLOS, C.P. 080903;080903;PA;active;PA080903
PANAMA, SAN CARLOS, C.P. 080902;080902;PA;active;PA080902
PANAMA, SAN CARLOS, C.P. 080901;080901;PA;active;PA080901
PANAMA, PANAMA, C.P. 080821;080821;PA;active;PA080821
PANAMA, PANAMA, C.P. 080820;080820;PA;active;PA080820
PANAMA, PANAMA, C.P. 080819;080819;PA;active;PA080819
PANAMA, PANAMA, C.P. 080818;080818;PA;active;PA080818
PANAMA, PANAMA, C.P. 080817;080817;PA;active;PA080817
PANAMA, PANAMA, C.P. 080816;080816;PA;active;PA080816
PANAMA, PANAMA, C.P. 080815;080815;PA;active;PA080815
PANAMA, PANAMA, C.P. 080814;080814;PA;active;PA080814
PANAMA, PANAMA, C.P. 080813;080813;PA;active;PA080813
PANAMA, PANAMA, C.P. 080812;080812;PA;active;PA080812
PANAMA, PANAMA, C.P. 080811;080811;PA;active;PA080811
PANAMA, PANAMA, C.P. 080810;080810;PA;active;PA080810
PANAMA, PANAMA, C.P. 080809;080809;PA;active;PA080809
PANAMA, PANAMA, C.P. 080808;080808;PA;active;PA080808
PANAMA, PANAMA, C.P. 080807;080807;PA;active;PA080807
PANAMA, PANAMA, C.P. 080806;080806;PA;active;PA080806
PANAMA, PANAMA, C.P. 080805;080805;PA;active;PA080805
PANAMA, PANAMA, C.P. 080804;080804;PA;active;PA080804
PANAMA, PANAMA, C.P. 080803;080803;PA;active;PA080803
PANAMA, PANAMA, C.P. 080802;080802;PA;active;PA080802
PANAMA, PANAMA, C.P. 080801;080801;PA;active;PA080801
PANAMA, LA CHORRERA, C.P. 080717;080717;PA;active;PA080717
PANAMA, LA CHORRERA, C.P. 080715;080715;PA;active;PA080715
PANAMA, LA CHORRERA, C.P. 080714;080714;PA;active;PA080714
PANAMA, LA CHORRERA, C.P. 080713;080713;PA;active;PA080713
PANAMA, LA CHORRERA, C.P. 080712;080712;PA;active;PA080712
PANAMA, LA CHORRERA, C.P. 080710;080710;PA;active;PA080710
PANAMA, LA CHORRERA, C.P. 080708;080708;PA;active;PA080708
PANAMA, LA CHORRERA, C.P. 080706;080706;PA;active;PA080706
PANAMA, LA CHORRERA, C.P. 080705;080705;PA;active;PA080705
PANAMA, LA CHORRERA, C.P. 080704;080704;PA;active;PA080704
PANAMA, LA CHORRERA, C.P. 080702;080702;PA;active;PA080702
PANAMA, LA CHORRERA, C.P. 080701;080701;PA;active;PA080701
PANAMA, CHIMAN, C.P. 080605;080605;PA;active;PA080605
PANAMA, CHIMAN, C.P. 080604;080604;PA;active;PA080604
PANAMA, CHIMAN, C.P. 080603;080603;PA;active;PA080603
PANAMA, CHIMAN, C.P. 080602;080602;PA;active;PA080602
PANAMA, CHIMAN, C.P. 080601;080601;PA;active;PA080601
PANAMA, CHEPO, C.P. 080508;080508;PA;active;PA080508
PANAMA, CHEPO, C.P. 080507;080507;PA;active;PA080507
PANAMA, CHEPO, C.P. 080506;080506;PA;active;PA080506
PANAMA, CHEPO, C.P. 080505;080505;PA;active;PA080505
PANAMA, CHEPO, C.P. 080504;080504;PA;active;PA080504
PANAMA, CHEPO, C.P. 080503;080503;PA;active;PA080503
PANAMA, CHEPO, C.P. 080502;080502;PA;active;PA080502
PANAMA, CHEPO, C.P. 080501;080501;PA;active;PA080501
PANAMA, CHAME, C.P. 080411;080411;PA;active;PA080411
PANAMA, CHAME, C.P. 080410;080410;PA;active;PA080410
PANAMA, CHAME, C.P. 080409;080409;PA;active;PA080409
PANAMA, CHAME, C.P. 080408;080408;PA;active;PA080408
PANAMA, CHAME, C.P. 080407;080407;PA;active;PA080407
PANAMA, CHAME, C.P. 080406;080406;PA;active;PA080406
PANAMA, CHAME, C.P. 080405;080405;PA;active;PA080405
PANAMA, CHAME, C.P. 080404;080404;PA;active;PA080404
PANAMA, CHAME, C.P. 080403;080403;PA;active;PA080403
PANAMA, CHAME, C.P. 080402;080402;PA;active;PA080402
PANAMA, CHAME, C.P. 080401;080401;PA;active;PA080401
PANAMA, CAPIRA, C.P. 080313;080313;PA;active;PA080313
PANAMA, CAPIRA, C.P. 080312;080312;PA;active;PA080312
PANAMA, CAPIRA, C.P. 080311;080311;PA;active;PA080311
PANAMA, CAPIRA, C.P. 080310;080310;PA;active;PA080310
PANAMA, CAPIRA, C.P. 080309;080309;PA;active;PA080309
PANAMA, CAPIRA, C.P. 080308;080308;PA;active;PA080308
PANAMA, CAPIRA, C.P. 080307;080307;PA;active;PA080307
PANAMA, CAPIRA, C.P. 080306;080306;PA;active;PA080306
PANAMA, CAPIRA, C.P. 080305;080305;PA;active;PA080305
PANAMA, CAPIRA, C.P. 080304;080304;PA;active;PA080304
PANAMA, CAPIRA, C.P. 080303;080303;PA;active;PA080303
PANAMA, CAPIRA, C.P. 080302;080302;PA;active;PA080302
PANAMA, CAPIRA, C.P. 080301;080301;PA;active;PA080301
PANAMA, BALBOA, C.P. 080206;080206;PA;active;PA080206
PANAMA, BALBOA, C.P. 080205;080205;PA;active;PA080205
PANAMA, BALBOA, C.P. 080204;080204;PA;active;PA080204
PANAMA, BALBOA, C.P. 080203;080203;PA;active;PA080203
PANAMA, BALBOA, C.P. 080202;080202;PA;active;PA080202
PANAMA, BALBOA, C.P. 080201;080201;PA;active;PA080201
PANAMA, ARRAIJAN, C.P. 080108;080108;PA;active;PA080108
PANAMA, ARRAIJAN, C.P. 080107;080107;PA;active;PA080107
PANAMA, ARRAIJAN, C.P. 080106;080106;PA;active;PA080106
PANAMA, ARRAIJAN, C.P. 080105;080105;PA;active;PA080105
PANAMA, ARRAIJAN, C.P. 080104;080104;PA;active;PA080104
PANAMA, ARRAIJAN, C.P. 080103;080103;PA;active;PA080103
PANAMA, ARRAIJAN, C.P. 080102;080102;PA;active;PA080102
PANAMA, ARRAIJAN, C.P. 080101;080101;PA;active;PA080101
LOS SANTOS, TONOSI, C.P. 070710;070710;PA;active;PA070710
LOS SANTOS, TONOSI, C.P. 070709;070709;PA;active;PA070709
LOS SANTOS, TONOSI, C.P. 070708;070708;PA;active;PA070708
LOS SANTOS, TONOSI, C.P. 070707;070707;PA;active;PA070707
LOS SANTOS, TONOSI, C.P. 070706;070706;PA;active;PA070706
LOS SANTOS, TONOSI, C.P. 070705;070705;PA;active;PA070705
LOS SANTOS, TONOSI, C.P. 070704;070704;PA;active;PA070704
LOS SANTOS, TONOSI, C.P. 070703;070703;PA;active;PA070703
LOS SANTOS, TONOSI, C.P. 070702;070702;PA;active;PA070702
LOS SANTOS, TONOSI, C.P. 070701;070701;PA;active;PA070701
LOS SANTOS, POCRI, C.P. 070605;070605;PA;active;PA070605
LOS SANTOS, POCRI, C.P. 070604;070604;PA;active;PA070604
LOS SANTOS, POCRI, C.P. 070603;070603;PA;active;PA070603
LOS SANTOS, POCRI, C.P. 070602;070602;PA;active;PA070602
LOS SANTOS, POCRI, C.P. 070601;070601;PA;active;PA070601
LOS SANTOS, PEDASI, C.P. 070505;070505;PA;active;PA070505
LOS SANTOS, PEDASI, C.P. 070504;070504;PA;active;PA070504
LOS SANTOS, PEDASI, C.P. 070503;070503;PA;active;PA070503
LOS SANTOS, PEDASI, C.P. 070502;070502;PA;active;PA070502
LOS SANTOS, PEDASI, C.P. 070501;070501;PA;active;PA070501
LOS SANTOS, MACARACAS, C.P. 070411;070411;PA;active;PA070411
LOS SANTOS, MACARACAS, C.P. 070410;070410;PA;active;PA070410
LOS SANTOS, MACARACAS, C.P. 070409;070409;PA;active;PA070409
LOS SANTOS, MACARACAS, C.P. 070408;070408;PA;active;PA070408
LOS SANTOS, MACARACAS, C.P. 070407;070407;PA;active;PA070407
LOS SANTOS, MACARACAS, C.P. 070406;070406;PA;active;PA070406
LOS SANTOS, MACARACAS, C.P. 070405;070405;PA;active;PA070405
LOS SANTOS, MACARACAS, C.P. 070404;070404;PA;active;PA070404
LOS SANTOS, MACARACAS, C.P. 070403;070403;PA;active;PA070403
LOS SANTOS, MACARACAS, C.P. 070402;070402;PA;active;PA070402
LOS SANTOS, MACARACAS, C.P. 070401;070401;PA;active;PA070401
LOS SANTOS, LOS SANTOS, C.P. 070314;070314;PA;active;PA070314
LOS SANTOS, LOS SANTOS, C.P. 070312;070312;PA;active;PA070312
LOS SANTOS, LOS SANTOS, C.P. 070311;070311;PA;active;PA070311
LOS SANTOS, LOS SANTOS, C.P. 070310;070310;PA;active;PA070310
LOS SANTOS, LOS SANTOS, C.P. 070309;070309;PA;active;PA070309
LOS SANTOS, LOS SANTOS, C.P. 070308;070308;PA;active;PA070308
LOS SANTOS, LOS SANTOS, C.P. 070307;070307;PA;active;PA070307
LOS SANTOS, LOS SANTOS, C.P. 070306;070306;PA;active;PA070306
LOS SANTOS, LOS SANTOS, C.P. 070305;070305;PA;active;PA070305
LOS SANTOS, LOS SANTOS, C.P. 070304;070304;PA;active;PA070304
LOS SANTOS, LOS SANTOS, C.P. 070303;070303;PA;active;PA070303
LOS SANTOS, LOS SANTOS, C.P. 070302;070302;PA;active;PA070302
LOS SANTOS, LOS SANTOS, C.P. 070301;070301;PA;active;PA070301
LOS SANTOS, LAS TABLAS, C.P. 070224;070224;PA;active;PA070224
LOS SANTOS, LAS TABLAS, C.P. 070223;070223;PA;active;PA070223
LOS SANTOS, LAS TABLAS, C.P. 070222;070222;PA;active;PA070222
LOS SANTOS, LAS TABLAS, C.P. 070221;070221;PA;active;PA070221
LOS SANTOS, LAS TABLAS, C.P. 070220;070220;PA;active;PA070220
LOS SANTOS, LAS TABLAS, C.P. 070218;070218;PA;active;PA070218
LOS SANTOS, LAS TABLAS, C.P. 070217;070217;PA;active;PA070217
LOS SANTOS, LAS TABLAS, C.P. 070216;070216;PA;active;PA070216
LOS SANTOS, LAS TABLAS, C.P. 070215;070215;PA;active;PA070215
LOS SANTOS, LAS TABLAS, C.P. 070214;070214;PA;active;PA070214
LOS SANTOS, LAS TABLAS, C.P. 070213;070213;PA;active;PA070213
LOS SANTOS, LAS TABLAS, C.P. 070212;070212;PA;active;PA070212
LOS SANTOS, LAS TABLAS, C.P. 070209;070209;PA;active;PA070209
LOS SANTOS, LAS TABLAS, C.P. 070208;070208;PA;active;PA070208
LOS SANTOS, LAS TABLAS, C.P. 070207;070207;PA;active;PA070207
LOS SANTOS, LAS TABLAS, C.P. 070205;070205;PA;active;PA070205
LOS SANTOS, LAS TABLAS, C.P. 070204;070204;PA;active;PA070204
LOS SANTOS, LAS TABLAS, C.P. 070203;070203;PA;active;PA070203
LOS SANTOS, LAS TABLAS, C.P. 070202;070202;PA;active;PA070202
LOS SANTOS, LAS TABLAS, C.P. 070201;070201;PA;active;PA070201
LOS SANTOS, GUARARE, C.P. 070110;070110;PA;active;PA070110
LOS SANTOS, GUARARE, C.P. 070109;070109;PA;active;PA070109
LOS SANTOS, GUARARE, C.P. 070107;070107;PA;active;PA070107
LOS SANTOS, GUARARE, C.P. 070105;070105;PA;active;PA070105
LOS SANTOS, GUARARE, C.P. 070104;070104;PA;active;PA070104
LOS SANTOS, GUARARE, C.P. 070103;070103;PA;active;PA070103
LOS SANTOS, GUARARE, C.P. 070102;070102;PA;active;PA070102
LOS SANTOS, GUARARE, C.P. 070101;070101;PA;active;PA070101
HERRERA, SANTA MARIA, C.P. 060705;060705;PA;active;PA060705
HERRERA, SANTA MARIA, C.P. 060704;060704;PA;active;PA060704
HERRERA, SANTA MARIA, C.P. 060703;060703;PA;active;PA060703
HERRERA, SANTA MARIA, C.P. 060702;060702;PA;active;PA060702
HERRERA, SANTA MARIA, C.P. 060701;060701;PA;active;PA060701
HERRERA, PESE, C.P. 060608;060608;PA;active;PA060608
HERRERA, PESE, C.P. 060607;060607;PA;active;PA060607
HERRERA, PESE, C.P. 060606;060606;PA;active;PA060606
HERRERA, PESE, C.P. 060605;060605;PA;active;PA060605
HERRERA, PESE, C.P. 060604;060604;PA;active;PA060604
HERRERA, PESE, C.P. 060603;060603;PA;active;PA060603
HERRERA, PESE, C.P. 060602;060602;PA;active;PA060602
HERRERA, PESE, C.P. 060601;060601;PA;active;PA060601
HERRERA, PARITA, C.P. 060507;060507;PA;active;PA060507
HERRERA, PARITA, C.P. 060506;060506;PA;active;PA060506
HERRERA, PARITA, C.P. 060505;060505;PA;active;PA060505
HERRERA, PARITA, C.P. 060504;060504;PA;active;PA060504
HERRERA, PARITA, C.P. 060503;060503;PA;active;PA060503
HERRERA, PARITA, C.P. 060502;060502;PA;active;PA060502
HERRERA, PARITA, C.P. 060501;060501;PA;active;PA060501
HERRERA, OCU, C.P. 060406;060406;PA;active;PA060406
HERRERA, OCU, C.P. 060405;060405;PA;active;PA060405
HERRERA, OCU, C.P. 060404;060404;PA;active;PA060404
HERRERA, OCU, C.P. 060403;060403;PA;active;PA060403
HERRERA, OCU, C.P. 060402;060402;PA;active;PA060402
HERRERA, OCU, C.P. 060401;060401;PA;active;PA060401
HERRERA, LOS POZOS, C.P. 060308;060308;PA;active;PA060308
HERRERA, LOS POZOS, C.P. 060307;060307;PA;active;PA060307
HERRERA, LOS POZOS, C.P. 060306;060306;PA;active;PA060306
HERRERA, LOS POZOS, C.P. 060305;060305;PA;active;PA060305
HERRERA, LOS POZOS, C.P. 060304;060304;PA;active;PA060304
HERRERA, LOS POZOS, C.P. 060303;060303;PA;active;PA060303
HERRERA, LOS POZOS, C.P. 060302;060302;PA;active;PA060302
HERRERA, LOS POZOS, C.P. 060301;060301;PA;active;PA060301
HERRERA, LAS MINAS, C.P. 060206;060206;PA;active;PA060206
HERRERA, LAS MINAS, C.P. 060205;060205;PA;active;PA060205
HERRERA, LAS MINAS, C.P. 060204;060204;PA;active;PA060204
HERRERA, LAS MINAS, C.P. 060203;060203;PA;active;PA060203
HERRERA, LAS MINAS, C.P. 060202;060202;PA;active;PA060202
HERRERA, LAS MINAS, C.P. 060201;060201;PA;active;PA060201
HERRERA, CHITRE, C.P. 060106;060106;PA;active;PA060106
HERRERA, CHITRE, C.P. 060105;060105;PA;active;PA060105
HERRERA, CHITRE, C.P. 060104;060104;PA;active;PA060104
HERRERA, CHITRE, C.P. 060103;060103;PA;active;PA060103
HERRERA, CHITRE, C.P. 060102;060102;PA;active;PA060102
HERRERA, CHITRE, C.P. 060101;060101;PA;active;PA060101
DARIEN, PINOGANA, C.P. 050209;050209;PA;active;PA050209
DARIEN, PINOGANA, C.P. 050207;050207;PA;active;PA050207
DARIEN, PINOGANA, C.P. 050206;050206;PA;active;PA050206
DARIEN, PINOGANA, C.P. 050205;050205;PA;active;PA050205
